seed_value,source_node,target_node,predicted_by_prior_free,target_descendant_count,source_ancestor_count,target_out_degree,target_in_degree,source_out_degree,source_in_degree
501,0,4,False,3,0,2,3,4,0
501,4,0,False,7,5,4,0,2,3
501,5,0,False,7,4,4,0,2,3
501,5,3,True,5,4,3,0,2,3
501,5,8,False,0,4,0,4,2,3
501,5,9,True,5,4,2,2,2,3
501,6,0,False,7,0,4,0,5,0
501,7,5,False,4,7,2,3,0,3
501,8,7,False,0,8,0,3,0,4
501,9,7,False,0,2,0,3,2,2
502,0,3,False,5,6,3,1,0,4
502,1,2,False,0,5,0,1,1,4
502,1,7,False,4,5,3,1,1,4
502,3,4,False,2,1,2,2,3,1
502,3,6,True,6,1,5,0,3,1
502,4,1,False,1,4,1,4,2,2
502,5,2,False,0,7,0,1,0,4
502,6,7,False,4,0,3,1,5,0
502,9,0,False,0,0,0,4,3,0
502,9,2,False,0,0,0,1,3,0
503,0,3,False,4,2,2,1,1,2
503,2,7,False,5,1,4,0,1,1
503,2,8,False,0,1,0,4,1,1
503,4,1,False,3,0,2,3,4,0
503,5,2,False,5,7,1,1,1,3
503,7,3,False,4,0,2,1,4,0
503,7,4,False,7,0,4,0,4,0
503,7,9,False,1,0,1,4,4,0
503,8,2,False,5,9,1,1,0,4
503,8,4,False,7,9,4,0,0,4
504,2,5,False,4,2,3,1,0,2
504,2,9,False,0,2,0,1,0,2
504,3,6,False,1,2,1,3,1,1
504,4,8,False,2,6,1,0,0,3
504,5,9,False,0,1,0,1,3,1
504,6,2,False,0,4,0,2,1,3
504,7,8,False,2,0,1,0,4,0
504,9,2,False,0,1,0,2,0,1
504,9,4,False,0,1,0,3,0,1
504,9,8,False,2,1,1,0,0,1
505,0,6,False,5,8,2,0,1,3
505,1,0,False,1,1,1,3,2,1
505,2,4,False,4,0,3,1,2,0
505,2,5,False,4,0,2,1,2,0
505,3,4,False,4,0,3,1,2,0
505,5,4,False,4,1,3,1,2,1
505,6,1,False,4,0,2,1,2,0
505,7,3,False,5,9,2,0,0,4
505,7,6,False,5,9,2,0,0,4
505,7,8,False,3,9,1,5,0,4
506,0,2,False,1,9,1,2,0,7
506,0,4,False,5,9,5,1,0,7
506,0,8,False,1,9,1,3,0,7
506,1,2,False,1,5,1,2,1,3
506,2,5,False,7,3,5,0,1,2
506,4,5,True,7,1,5,0,5,1
506,6,2,False,1,4,1,2,3,3
506,7,9,False,2,0,2,1,1,0
506,8,5,False,7,5,5,0,1,3
506,9,3,False,4,1,1,0,2,1
507,0,6,False,6,6,3,0,0,6
507,1,9,False,1,5,1,1,0,3
507,3,5,True,7,6,5,0,0,4
507,4,6,False,6,5,3,0,1,4
507,6,8,False,5,0,5,1,3,0
507,7,2,False,4,1,4,2,3,1
507,7,9,False,1,1,1,1,3,1
507,8,6,False,6,1,3,0,5,1
507,8,7,False,4,1,3,1,5,1
507,9,4,False,1,2,1,4,1,1
